Timestamp;In which age group are you in?;What is your gender?;What is the highest educational diploma you have obtained?;Level of education. Numeric;In which discipline is your academic background?;How many languages do you speak fluently?;Where do you currently reside?;COP 26 is organised to prevent the Earth’s average temperature from rising by no more than how many degrees Celsius?;COP 26.Numeric;Do you think that climate change is caused by human activities?;Which of the following is a greenhouse gas?;Did you notice changes in temperatures during this year in comparison to few last years (warmer summers, colder winters, etc.) ?;Did you notice changes in temperatures. Numeric;The majority of scientists agree that climate change is real;The majority of scientists agree .Numeric;Climate change is bound to happen because of the global economic activity;global economic activity. Numeric;Climate change is a natural phenomenon;Recent global disasters ( floods, fires, droughts) are more prevalent because of climate change;Recent global disasters. Numeric;Climate change is mostly because of the pollution from industries;pollution from industries. Numeric;Total eco awareness score. Numeric;What can an individual do to reduce the process of climate change?;What can society as a group do to reduce the process of climate change?;;;;;baseline;;;temp baseline;;;;Hypothesis 1 = Climate change is bound to happen because of the global economic activity vs Level of education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 14:45;21-25 years;Female;Master's Diploma;3;Medicine;4;Czech Republic;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;4;6;1;6;1;1,2;Reduce plastic consumption;Recycle waste, educate people how to do it and what impact this have to our planet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 14:47;26-30 years;Male;Master's Diploma;3;engineering;2;Ukraine;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;7;1;1,2;Recycle, reduce the purchase of clothing, reduce consumption;Talk more and spread the idea of __future children. We leave our Earth home to our ancestors. Don't be selfish.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 14:47;18-20 years;Female;Bachelor's Diploma;2;Social sciences;3;Ukraine;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;5;7;1;5;1;1,05;Reduce exhaust emissions from factories and other industries. Switch to more natural fuels.;Difficult to answer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:04;21-25 years;Female;Bachelor's Diploma;2;Social sciences;4;Ukraine;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;2;6;1;6;1;1,05;Live Edith thé respect to nature and resources;Create the rules, which will eliminate the hurt which humans cause;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:14;21-25 years;Male;Bachelor's Diploma;2;Humanities;3;Ukraine;I am not sure;0;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;7;3;0;6;1;0,75;Reduce usage of non recycle elements.;Taxes, reduce the industries, be more eco.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:25;Over 30 years;Female;Master's Diploma;3;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;6;1;1,2;reduce/reuse/ advocate for effective recycling systems, reduce meat intake, use public transportation;pass laws requiring industries to take effective measures to reduce emissions and pollution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:29;18-20 years;Non-Binary;Bachelor's Diploma;2;Natural sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;7;7;1;4;0,5;1,0625;stop living;stop consuming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:30;21-25 years;Female;Bachelor's Diploma;2;Humanities;4;Ukraine;I am not sure;0;Yes;I am not sure;Yes;1;Yes;1;7;1;7;7;1;5;1;1,05;Consume less, public transportation, eat and shop locally, travel by plain less, reuse, save energy on everyday basis.;Rethink capitalism and consumerism, use renewable sources of energy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:30;26-30 years;Male;Bachelor's Diploma;2;Applied sciences;2;Pakistan;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;7;1;1,2;Try to reduce carbon footprint;Reduce carbon footprint.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:33;Over 30 years;Female;Bachelor's Diploma;2;Medicine and Accounting;2;Turkey;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;6;1;6;1;1,2;Use natural resources respectably and sensibly. Use human produced resources carefully as they are the biggest contributors to climate change. We can not eliminate them from our everyday use but we can limit the usage to avoid problems in general.;Be judicious and sensible in maintaining your lifestyle so it stays comfortable for you and acceptable for others and society in general;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:36;21-25 years;Female;Bachelor's Diploma;2;Social sciences;2;Turkey;I am not sure;0;Yes;I am not sure;No;0;Yes;1;7;1;1;7;1;7;1;0,9;Idk;Idk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 15:41;26-30 years;Male;Master's Diploma;3;Applied sciences;3;Czech Republic;1,5;1;Yes;Methane;Yes;1;Yes;1;7;1;3;6;1;7;1;1,2;Economy;Economy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:13;18-20 years;Female;High School Diploma;1;Social sciences;3;Ukraine;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;3;6;1;6;1;1,2;Become more eco conscious: garage sorting, zero-waste, etc.;Fight consumerism?:);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:15;Over 30 years;Female;Bachelor's Diploma;2;Medicine and Accounting (CPA);2;Turkey;1,5;1;Yes;I am not sure;Yes;1;Yes;1;7;1;5;6;1;6;1;1,2;Act sensibly;Modify the requirements of daily life and make them more aligned to available natural products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:19;26-30 years;Male;Bachelor's Diploma;2;Finance;3;Pakistan;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;3;6;1;3;0;1;Promote awareness. Reduce material greed;Pool resources together;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:26;21-25 years;Male;Master's Diploma;3;Social sciences;3;Spain;I am not sure;0;Yes;Carbon Dioxide, I am not sure;Yes;1;Yes;1;7;1;2;7;1;6;1;1,05;Use renewal types of energy, avoid buying and using plastic, stop wasting food and become vegans.;Put pressure on governments and company's to fight climate changes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:31;Over 30 years;Female;Master's Diploma;3;Communications;2;Pakistan;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;1;7;1;7;1;1,05;Use recycled material;Use less cars, recycle, and grow organic and try to retain natural environment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:40;Over 30 years;Male;High School Diploma;1;Humanities;3;Pakistan;3,5;0,5;Yes;I am not sure;Yes;1;Yes;1;7;1;1;7;1;6;1;1,125;Reduce carbon footprint;Care;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 16:48;Over 30 years;Male;Master's Diploma;3;Humanities;3;United Arab Emirates;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;3;5;1;6;1;1,2;Support environmentally friendly activities.;Better recycling and waste management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 17:02;26-30 years;Male;Bachelor's Diploma;2;Applied sciences;2;Pakistan;I am not sure;0;Yes;I am not sure;Yes;1;Yes;1;7;1;4;6;1;6;1;1,05;Start building a sustainable environment around themselves to the best of their capeabilities;Be more welcoming towards the idea of sustainable living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 17:27;Over 30 years;Male;Master's Diploma;3;IT;3;United Kingdom;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;7;7;1;7;1;1,2;Reduce Carbon foot print;Renewable Energy is way forward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 17:44;21-25 years;Female;Bachelor's Diploma;2;Humanities;3;Ukraine;2,5;0,75;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;2;6;1;4;0,5;1,0625;Use less plastic bags;Use public transport more;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 17:45;Over 30 years;Female;Master's Diploma;3;Social sciences;3;Sudan;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;2;7;1;6;1;1,2;Eat less beef, live on renewable energy and reduce waste;Agree on the above;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 19:15;Over 30 years;Male;Master's Diploma;3;Social sciences;2;Pakistan;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;3;6;1;5;1;1,05;to maintain Nature;grow more tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 19:37;Over 30 years;Female;PhD Diploma;4;Social sciences;2;Somalia;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;2;7;1;7;1;1,05;Reduce Fosil oil;Save trees plant more n more trees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 19:45;21-25 years;Female;Bachelor's Diploma;2;Humanities;3;France;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;6;1;4;0,5;1,0625;Raise awareness about the climate change, reduce meat consumption, vote consciously, organize politically;Environmental policies, identify the real agents for climate change and punish accordingly, raise awareness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 21:41;26-30 years;Prefer not to say;PhD Diploma;4;Applied sciences;4;Australia;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;2;7;1;7;1;1,1625;Organise;Pressure govt to act;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 23:26;21-25 years;Male;Bachelor's Diploma;2;Applied sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;2;7;1;5;1;1,05;Vote and pray ? Not much else, except dying;Reshape the way our societies work, rethink capitalism and economic growth, educate the masses, and stop being stupid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 23:54;21-25 years;Female;Master's Diploma;3;Applied sciences;5;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;5;1;1,2;Stop all unnecessary consumption (clothes, food….);Vote !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 3:36;Over 30 years;Female;PhD Diploma;4;Humanities;2;Pakistan;I am not sure;0;Yes;Methane;Yes;1;Yes;1;7;1;3;6;1;6;1;1,05;Use less private transport and more public one - Use less disposable material .;Reduce disposable material from daily consumption, like plastics and thermoplastic- Managr industrial waste - reduce harmful emissions from industries and vehicles. .;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 3:54;Over 30 years;Male;Master's Diploma;3;Finance;2;Pakistan;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;7;1;4;0,5;0,95;Be more aware of what he shouldn't do to prevent;As a community be aware of the various factors which cause it;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 4:31;Over 30 years;Female;Master's Diploma;3;Humanities;2;Pakistan;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;3;3;0;7;1;0,75;To be a responsible human being.;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 7:41;21-25 years;Female;Bachelor's Diploma;2;Social sciences;2;Ukraine;I am not sure;0;Yes;Methane;Yes;1;Yes;1;7;1;5;2;0;5;1;0,75;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 9:41;26-30 years;Female;Master's Diploma;3;Natural sciences;1;France;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;6;1;1,1625;Reduce, reuse, recycle, vote for politicians that will enact climate policy, protest for better climate policies, buy from ethical/green business;Enact strict guidelines for industry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 10:04;26-30 years;Female;Master's Diploma;3;Social sciences;3;Ukraine;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;2;6;1;5;1;1,05;Use less energy, be more conscious about consuming planets resources;No ideas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 13:09;18-20 years;Prefer not to say;High School Diploma;1;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;2;7;1;7;1;1,1625;Not that much but like vegetarism, no wastes, using the bike..;destroy the system to make it better after;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 13:51;18-20 years;Female;Bachelor's Diploma;2;Applied sciences;1;France;1,5;1;Yes;Methane;Yes;1;Yes;1;7;1;6;7;1;7;1;1,2;become vegetarian, took less the car, stop taking plane for short journey;Improve the common transport, reduce the price of train ticket, stop plane domestic flights, learn to the society to become veggy and consume less and better.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 14:25;21-25 years;Male;Bachelor's Diploma;2;Applied sciences;3;Ukraine;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;7;7;1;4;0,5;1,1;"Change of diet, consumption habits, more walking;)";"Choose more conscious leaders to pass more efficient eco-friendly policies (plastic initiatives, fight corruption related to lumber industry and agriculture; thus fighting for better use of resources and preservation of habitats, more green energy)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.21 22:59;26-30 years;Male;Master's Diploma;3;Applied sciences;3;France;I am not sure;0;No;Carbon Dioxide, Methane;No;0;Yes;1;7;1;7;4;0,5;2;0;0,55;Nothing except reduce his consumption;We should make a pressure over the multinational firms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.12.21 13:15;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;1,5;1;Yes;All of them;No;0;Yes;1;7;1;4;7;1;7;1;1,05;Individual action is not a efficient solution;Reduce consumption and livr in harmony with the nature;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.12.21 14:48;18-20 years;Female;High School Diploma;1;Social sciences;2;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;6;5;1;4;0,5;1,0625;Recycle trash, plant trees, install solar panels in houses, reduce water and gas an electricity usage;Use natural power sources rather than carbon, e.g. solar power, wind power and especially nuclear power;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 11:57;26-30 years;Male;Master's Diploma;3;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;1;7;1;7;1;1,05;Lower the living standard, consume less;Forbid the most impactful and polluting activities;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 12:13;18-20 years;Female;High School Diploma;1;Natural sciences;2;France;3,5;0,5;Yes;All of them;No;0;Yes;1;7;1;3;7;1;7;1;0,975;Change the way they consume and use energy, be engaged in citizens' discussions about it, vote, be aware. If everyone is engaged, it could impact the whole system.;Stop trying to save the way it has gone for so many years and start to think about real reforms.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 12:35;Over 30 years;Male;PhD Diploma;4;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;2;7;1;2;0;0,85;travel less, eat less meat, produce less numerical data;climate diplomacy for international collaboration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 12:39;26-30 years;Prefer not to say;Bachelor's Diploma;2;Humanities;2;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;2;5;1;7;1;1,2;Reduce waste of resources;Implement sustainable energies and reduce waste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 12:44;21-25 years;Male;Master's Diploma;3;Design;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;7;1;1,2;Be vegeterian, Buy second hand clothes, be aware of objects and energy production, don't warm too much the home;communication, education, to do things I wrote above;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 13:11;21-25 years;Female;Master's Diploma;3;Natural sciences;2;France;2,5;0,75;Yes;Methane, I am not sure;Yes;1;Yes;1;7;1;3;7;1;7;1;1,1625;There are things that can be done (no plastic, no cars, etc.) but it's at the scale of industries that changes have to be done.;Vote laws against the industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 14:11;21-25 years;Prefer not to say;Master's Diploma;3;Applied sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;7;7;1;4;0,5;1,1;here you go (my prefer ones) : https://bonpote.com/10-actions-simples-pour-devenir-ecolo/;There's SO MUCH to do. But if we go to the roots of those issues, it leads to : deconstruct industrialised, capitalist, patriarchy, colonialist, consumerist system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 14:24;26-30 years;Female;Master's Diploma;3;Natural Sciences + Humanities (you should really allow for more than 1 answer at the CRI...);2;France;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;1;7;1;7;1;1,2;Vote for people/policies that will make a change. Don't take the plane. Eat local/less meat. Reduce the waste your household produces.;Socially sustainable economic degrowth. Make the reduction of climate change a priority in every policy. Forbid planes for short distances, when there is a train as alternative. Force the industry to reduce their pollution. Stop deforestation, stop launching stupid rockets to space. Increase awareness on climate change and the orders of magnitude of how different things affect the climate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 14:37;21-25 years;Female;Master's Diploma;3;Life science;3;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;4;0,5;1,1;reduce abusing resources and adapt to more moderation in consumption , for example using public transport , always carry a reusable bag with you, stop buying fast fashion products, moderate meat consumption.;try to grow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 14:48;26-30 years;Male;PhD Diploma;4;Natural sciences;2;France;1,5;1;Yes;All of them;No;0;Yes;1;7;1;7;7;1;4;0,5;0,95;Change diet(vege) , change means of travel, invest in thermal isolation for the house, change bank, rethink the need for consumption;Fight for national policies at the right scale of the challenge, be a model to other countries, work together to find the best solutions, share;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 15:00;26-30 years;Female;Master's Diploma;3;Natural sciences;3;France;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;7;1;1,05;Stop eating meat;Taxes of big industries. More laws on waste management.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 15:19;21-25 years;Male;High School Diploma;1;Natural sciences;1;France;1,5;1;Yes;All of them;No;0;Yes;1;7;1;6;6;1;7;1;1,05;Lobby governments to implement market friendly policies to encourage decarbonisation such as a carbon tax, carbon trading schemes and investment in green technology;Support the necessary life style changes that will be required to combat climate change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 15:57;18-20 years;Female;High School Diploma;1;Natural sciences;2;Poland;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;No;0;7;1;3;6;1;7;1;0,75;vote and use your money as a vote itself;vote and use money as a vote itself, we need systemic changes cause it went to far;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 16:02;18-20 years;Female;High School Diploma;1;Social sciences;4;Poland;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;5;6;1;5;1;1,2;save water and light, use public transport, reuse bottles, bags etc.;change cities to become more sustainable, introduce legislation complying with scientists' recommendations, too many to list them all probably;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 16:15;18-20 years;Female;High School Diploma;1;Social sciences;2;Poland;I am not sure;0;Yes;Water Vapor;No;0;Yes;1;7;1;2;7;1;7;1;0,9;Vote at elections for green politics;Vote at elections for green politics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 16:27;Over 30 years;Male;PhD Diploma;4;Natural sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;7;4;0,5;2;0;0,7;put pressure on the government (e.g. to regulate big industries, reduce the consumption of animal products, transition to green energy). Also reduce own consumption of animal products, choose greener options when possible (eg travelling by train not flying)...;reduce luxury commerce, reduce consumption of animal products, regulate big industries, switch to greener sources of energy, reverse deforestation..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 19:32;21-25 years;Male;High School Diploma;1;Humanities;2;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;5;5;1;7;1;1,0125;Shop carefullly, change your daily lifestyle to be more environment friendly;Push pro environment policies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.21 23:50;21-25 years;Male;Master's Diploma;3;Social sciences;2;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;7;7;1;7;1;1,0125;Save fresh water, save electricity, eliminate plastic;Investment one renewable energy, recycle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.12.21 11:28;Over 30 years;Male;Master's Diploma;3;Construction & Learning sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;No;0;7;1;4;5;1;6;1;0,9;Become more self-aware about the impact of personal choices;Political action;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.12.21 19:45;21-25 years;Female;High School Diploma;1;Natural sciences;1;France;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;5;7;1;7;1;1,05;Reduce individual transport, reduce meat consumption, reduce single use plastic;Try to influence government;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.12.21 21:35;26-30 years;Male;Bachelor's Diploma;2;Social sciences;2;Poland;I am not sure;0;I am not sure;Carbon Dioxide;No;0;Yes;1;7;1;4;3;0;5;1;0,6;Be more minimalistic;Dunno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.12.21 10:21;21-25 years;Male;Bachelor's Diploma;2;Social sciences;3;Poland;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;2;7;1;5;1;1,1625;eat the rich;overthrow the ruling class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.12.21 11:16;21-25 years;Female;High School Diploma;1;Language;2;Poland;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;1;7;1;6;1;1,2;Be responsible customer and human being, thinking about consequences of actions;Vote for people who visibly care about climate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.12.21 17:09;18-20 years;Female;High School Diploma;1;Natural sciences;3;Canada;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;6;1;4;0,5;1,1;"Try to act at his scale by limiting waste of energy, water and other resources; but also limiting travels and buying local products as much as possible, reduce meat consumption etc ...";Incorporate green solutions in city projects, invest in education for renewable energies and resources, establish policies to protect the environment, also make documentaries and movies about the climate crisis etc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.12.21 21:50;Over 30 years;Female;PhD Diploma;4;Natural sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;4;7;1;7;1;1,05;reduce their consumptions, eat less meat, prefer public transportation;impose rules against the use of fossil fuels and investing in clean energy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.12.21 9:30;Over 30 years;Male;PhD Diploma;4;Applied sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;4;5;1;4;0,5;0,95;Be engaged with its own actions and sharing contrasted iformation;Accept that capitalism as it is understood is not sustainable, so we have to live with less useless stuff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.12.21 11:14;26-30 years;Male;Master's Diploma;3;Applied sciences;2;Poland;I am not sure;0;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;6;6;1;6;1;1,05;Change lifestyle.;Change in order to promote long term solutions that can limit our greenhouse gas emissons.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.12.21 12:41;21-25 years;Male;Bachelor's Diploma;2;Natural sciences;4;France;2,5;0,75;Yes;All of them;Yes;1;Yes;1;7;1;2;6;1;7;1;1,1625;Nothing much, apart from boycotting any industrial product as our contribution is so small compared to that.;Prevent industries from passing rules and having influence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
